2015,06,07, fnatic, 07, TSM, 16, dust2, 20, 14, 1.17 
2015,06,07, TSM, 16, fnatic, 11, inferno, 16, 16, 0.96 
2015,06,07, fnatic, 16, TSM, 07, mirage, 11, 21, 0.50 
2015,06,07, fnatic, 05, TSM, 16, cobblestone, 17, 15, 1.16 
2015,06,07, TSM, 19, NatusVincere, 17, inferno, 22, 24, 0.93 
2015,06,07, NatusVincere, 17, TSM, 19, overpass, 30, 24, 1.25 
2015,06,06, fnatic, 16, TSM, 08, inferno, 12, 19, 0.66 
2015,06,06, fnatic, 16, TSM, 08, cache, 10, 22, 0.46 
2015,06,06, fnatic, 17, TSM, 19, mirage, 23, 27, 0.96 
2015,06,06, HellRaisers, 23, TSM, 25, cache, 26, 36, 0.74 
2015,06,06, TSM, 16, HellRaisers, 06, mirage, 26, 13, 1.77 
2015,06,04, mousesports, 16, TSM, 05, dust2, 11, 17, 0.68 
2015,06,04, TSM, 17, mousesports, 19, mirage, 19, 30, 0.64 
2015,06,03, Virtus.pro, 16, TSM, 04, overpass, 05, 18, 0.32 
2015,06,03, EnVyUs, 16, TSM, 08, cache, 19, 20, 0.94 
2015,06,03, TSM, 16, NatusVincere, 14, inferno, 34, 19, 1.61 
2015,06,03, TSM, 16, FlipSid3, 12, inferno, 24, 15, 1.39 
2015,06,01, KILLERFISH, 12, TSM, 16, dust2, 18, 23, 0.76 
2015,06,01, TSM, 16, KILLERFISH, 05, cache, 16, 14, 1.02 
2015,06,01, TSM, 16, NatusVincere, 09, train, 24, 14, 1.44 
