2015,09,29, NiP, 12, TSM, 16, dust2, 08, 22, 0.43 
2015,09,29, 0G2, 16, NiP, 13, train, 19, 23, 0.82 
2015,09,29, Germany, 10, Finland, 16, dust2, 26, 16, 1.55 
2015,09,28, Finland, 06, Slovakia, 16, mirage, 12, 21, 0.57 
2015,09,28, Turkey, 03, Finland, 16, mirage, 22, 09, 1.85 
2015,09,26, fnatic, 16, NiP, 07, train, 16, 16, 1.08 
2015,09,26, NiP, 19, fnatic, 17, inferno, 29, 25, 1.05 
2015,09,26, NiP, 13, fnatic, 16, mirage, 27, 20, 1.23 
2015,09,26, fnatic, 16, NiP, 01, cobblestone, 10, 17, 0.63 
2015,09,26, fnatic, 16, NiP, 19, dust2, 26, 24, 1.04 
2015,09,22, TSM, 16, NiP, 05, train, 13, 18, 0.77 
2015,09,22, NiP, 14, fnatic, 16, dust2, 20, 20, 0.95 
2015,09,17, Finland, 13, Russia, 16, mirage, 14, 18, 0.75 
2015,09,17, NiP, 16, fnatic, 13, cache, 19, 15, 1.08 
2015,09,16, NiP, 16, 0SK, 09, inferno, 23, 13, 1.46 
2015,09,15, EnVyUs, 08, NiP, 16, train, 18, 15, 1.20 
2015,09,11, NiP, 10, TSM, 16, inferno, 10, 19, 0.56 
2015,09,11, TSM, 16, NiP, 08, mirage, 19, 16, 1.30 
2015,09,11, TSM, 07, NiP, 16, dust2, 15, 14, 1.02 
2015,09,11, EnVyUs, 07, NiP, 16, inferno, 17, 10, 1.15 
2015,09,11, EnVyUs, 13, NiP, 16, dust2, 25, 17, 1.34 
2015,09,10, NiP, 19, Cloud9, 16, dust2, 19, 21, 0.86 
2015,09,10, NiP, 07, Virtus.pro, 16, mirage, 18, 16, 1.10 
2015,08,22, Virtus.pro, 16, NiP, 05, inferno, 12, 18, 0.81 
2015,08,22, NiP, 14, Virtus.pro, 16, train, 27, 18, 1.33 
2015,08,21, NiP, 16, Renegades, 05, inferno, 27, 07, 1.98 
2015,08,20, NiP, 03, TSM, 16, cache, 03, 15, 0.30 
2015,08,20, NiP, 16, CLG, 13, dust2, 21, 16, 1.09 
2015,08,01, Jynttä, 13, ROCCAT, 16, inferno, 21, 20, 0.98 
2015,08,01, ROCCAT, 16, Jynttä, 04, dust2, 11, 18, 0.54 
2015,07,31, Jynttä, 16, EpiphanyBolt, 04, mirage, 16, 10, 1.28 
2015,07,31, Jynttä, 16, UNLEASHED, 11, dust2, 22, 19, 1.14 
2015,07,17, NiP, 14, fnatic, 16, mirage, 31, 19, 1.53 
2015,07,17, fnatic, 16, NiP, 14, train, 22, 19, 0.99 
2015,07,17, NiP, 16, Liquid, 10, cache, 24, 14, 1.42 
2015,07,17, NiP, 16, Liquid, 06, dust2, 14, 12, 1.01 
2015,07,16, TSM, 16, NiP, 13, mirage, 16, 19, 0.82 
2015,07,11, NiP, 12, FlipSid3, 16, overpass, 07, 20, 0.44 
2015,07,11, FlipSid3, 16, NiP, 10, mirage, 16, 20, 0.77 
2015,07,11, NiP, 16, FlipSid3, 01, inferno, 24, 06, 2.29 
2015,07,10, NiP, 16, LDLCWhite, 08, cache, 23, 13, 1.42 
2015,07,10, NiP, 16, Liquid, 02, mirage, 18, 06, 1.83 
2015,07,10, QeeYou, 04, NiP, 16, mirage, 21, 09, 1.67 
2015,07,02, FlipSid3, 02, NiP, 16, cobblestone, 11, 08, 1.09 
2015,07,02, NiP, 16, NatusVincere, 08, train, 14, 14, 0.95 
2015,07,02, NatusVincere, 07, NiP, 16, mirage, 17, 11, 1.19 
2015,06,30, TSM, 16, NiP, 05, cache, 10, 19, 0.61 
2015,06,30, fnatic, 16, NiP, 07, cache, 11, 21, 0.53 
2015,06,28, NiP, 09, EnVyUs, 16, cache, 17, 17, 0.99 
2015,06,28, EnVyUs, 16, NiP, 04, inferno, 08, 19, 0.39 
2015,06,28, EnVyUs, 16, NiP, 10, dust2, 16, 16, 0.96 
2015,06,28, NiP, 16, mousesports, 02, dust2, 19, 07, 1.57 
2015,06,28, mousesports, 13, NiP, 16, train, 19, 22, 0.88 
2015,06,27, dignitas, 09, NiP, 16, inferno, 24, 14, 1.51 
2015,06,27, NiP, 09, dignitas, 16, mirage, 10, 20, 0.50 
2015,06,27, NiP, 16, dignitas, 04, cache, 10, 07, 1.04 
2015,06,26, 0SK, 12, NiP, 16, inferno, 12, 16, 0.73 
2015,06,26, 0SK, 19, NiP, 22, cobblestone, 32, 26, 1.30 
2015,06,24, NiP, 16, mousesports, 09, dust2, 21, 16, 1.30 
2015,06,24, mousesports, 09, NiP, 16, inferno, 22, 13, 1.36 
2015,06,23, NiP, 16, Titan, 08, mirage, 22, 16, 1.23 
2015,06,23, NiP, 16, LGB, 10, dust2, 18, 14, 1.04 
2015,06,23, LGB, 07, NiP, 16, inferno, 14, 12, 1.00 
2015,06,22, Titan, 08, NiP, 16, cache, 10, 15, 0.73 
2015,06,22, NiP, 16, x6tence, 04, mirage, 16, 10, 1.19 
2015,06,22, x6tence, 08, NiP, 16, train, 22, 15, 1.29 
2015,06,22, NiP, 21, EnVyUs, 18, cache, 20, 28, 0.76 
2015,06,18, NiP, 16, mousesports, 10, overpass, 11, 17, 0.68 
2015,06,18, fnatic, 16, NiP, 04, inferno, 10, 18, 0.53 
2015,06,17, NiP, 21, Virtus.pro, 17, train, 25, 25, 1.01 
2015,06,15, fnatic, 16, NiP, 14, train, 25, 17, 1.22 
2015,06,15, fnatic, 16, NiP, 06, dust2, 08, 18, 0.47 
2015,06,14, dignitas, 11, NiP, 16, cache, 21, 16, 1.18 
2015,06,14, NatusVincere, 16, NiP, 13, cobblestone, 23, 17, 1.26 
2015,06,14, NiP, 16, dignitas, 09, mirage, 23, 12, 1.38 
2015,06,13, Acer, 05, NiP, 16, dust2, 20, 12, 1.31 
2015,06,13, NiP, 16, Acer, 05, train, 11, 14, 0.76 
2015,06,11, EnVyUs, 03, NiP, 16, cobblestone, 16, 09, 1.35 
2015,06,10, EnVyUs, 16, NiP, 12, train, 28, 21, 1.31 
2015,06,10, TSM, 16, NiP, 07, mirage, 14, 20, 0.82 
2015,06,09, NiP, 04, TSM, 16, cache, 09, 15, 0.73 
2015,06,09, FlipSid3, 16, NiP, 01, train, 07, 16, 0.43 
2015,06,09, fnatic, 16, NiP, 13, train, 11, 18, 0.71 
2015,06,08, dignitas, 10, NiP, 16, cobblestone, 14, 16, 0.82 
2015,06,01, Titan, 14, NiP, 16, dust2, 17, 23, 0.72 
2015,06,01, fnatic, 11, NiP, 16, dust2, 23, 15, 1.26 
2015,05,31, INFINITY, 07, NiP, 16, cache, 21, 16, 1.29 
2015,05,31, INFINITY, 06, NiP, 16, train, 13, 12, 0.92 
2015,05,27, Publiclir.se, 06, NiP, 16, cache, 16, 13, 0.99 
2015,05,27, Publiclir.se, 16, NiP, 14, mirage, 21, 22, 0.94 
2015,05,27, TSM, 16, NiP, 03, overpass, 14, 17, 0.88 
2015,05,26, PENTA, 08, NiP, 16, train, 13, 12, 0.96 
2015,05,26, mousesports, 10, NiP, 16, mirage, 23, 16, 1.23 
2015,05,25, Titan, 10, NiP, 16, inferno, 21, 14, 1.21 
2015,05,25, Titan, 07, NiP, 16, cache, 12, 10, 0.95 
2015,05,25, PENTA, 07, NiP, 16, overpass, 22, 17, 1.24 
2015,05,24, FlipSid3, 06, NiP, 16, inferno, 24, 11, 1.64 
2015,05,24, FlipSid3, 11, NiP, 16, train, 26, 14, 1.46 
2015,05,24, NatusVincere, 14, NiP, 16, mirage, 21, 20, 0.95 
2015,05,23, HellRaisers, 19, NiP, 16, dust2, 18, 23, 0.83 
2015,05,23, EnVyUs, 05, NiP, 16, cobblestone, 07, 12, 0.63 
2015,05,21, NiP, 13, HellRaisers, 16, cache, 27, 19, 1.32 
2015,05,20, Virtus.pro, 22, NiP, 25, overpass, 31, 32, 0.95 
2015,05,20, Virtus.pro, 10, NiP, 16, cache, 13, 13, 0.92 
2015,05,19, 0G2, 08, NiP, 16, train, 19, 11, 1.30 
2015,05,19, 0G2, 09, NiP, 16, mirage, 21, 13, 1.28 
2015,05,16, NiP, 09, NatusVincere, 16, inferno, 15, 20, 0.83 
2015,05,16, NatusVincere, 16, NiP, 12, dust2, 23, 19, 1.11 
2015,05,16, VoxEminor, 05, NiP, 16, dust2, 16, 10, 1.26 
2015,05,16, VoxEminor, 16, NiP, 13, train, 16, 20, 0.81 
2015,05,15, NiP, 22, fnatic, 20, overpass, 22, 24, 0.94 
2015,05,15, NiP, 14, fnatic, 16, dust2, 07, 20, 0.53 
2015,05,15, NiP, 16, Liquid, 01, inferno, 18, 09, 1.61 
2015,05,15, Liquid, 02, NiP, 16, dust2, 13, 11, 1.02 
2015,05,12, PENTA, 07, NiP, 16, overpass, 17, 12, 1.29 
2015,05,12, NiP, 16, PENTA, 12, mirage, 19, 15, 1.09 
2015,05,12, NiP, 14, NatusVincere, 16, inferno, 21, 23, 0.98 
2015,05,11, NiP, 11, Virtus.pro, 16, train, 16, 20, 0.90 
2015,05,07, NatusVincere, 15, NiP, 19, dust2, 28, 21, 1.30 
2015,05,07, Virtus.pro, 16, NiP, 03, cache, 09, 19, 0.43 
2015,05,06, dignitas, 13, NiP, 16, inferno, 24, 18, 1.24 
2015,05,03, NiP, 12, TSM, 16, cache, 16, 19, 0.82 
2015,05,03, TSM, 21, NiP, 18, dust2, 32, 25, 1.25 
2015,05,03, NiP, 16, TSM, 01, inferno, 16, 06, 1.45 
2015,05,03, Virtus.pro, 14, NiP, 16, cache, 19, 16, 1.06 
2015,05,03, Virtus.pro, 16, NiP, 05, overpass, 06, 16, 0.63 
2015,05,03, Virtus.pro, 06, NiP, 16, inferno, 17, 12, 1.12 
2015,05,02, NiP, 16, Immunity, 04, mirage, 15, 08, 1.17 
2015,05,02, NiP, 16, Immunity, 03, dust2, 19, 06, 1.58 
2015,05,02, fnatic, 16, NiP, 12, dust2, 22, 20, 1.08 
2015,05,02, NiP, 07, fnatic, 16, mirage, 14, 19, 0.80 
2015,05,01, Immunity, 14, NiP, 16, dust2, 19, 13, 1.13 
2015,05,01, Immunity, 05, NiP, 16, inferno, 15, 08, 1.27 
2015,04,25, fnatic, 16, NiP, 04, cobblestone, 10, 17, 0.60 
2015,04,25, NiP, 06, fnatic, 16, mirage, 11, 19, 0.63 
2015,04,25, NiP, 14, TSM, 16, dust2, 24, 18, 1.27 
2015,04,25, NiP, 12, TSM, 16, inferno, 14, 16, 0.81 
2015,04,24, NiP, 16, EnVyUs, 11, mirage, 19, 13, 1.12 
2015,04,24, EnVyUs, 33, NiP, 36, dust2, 52, 48, 1.09 
2015,04,24, EnVyUs, 16, NiP, 10, cache, 22, 19, 1.13 
2015,04,16, NatusVincere, 14, NiP, 16, dust2, 20, 17, 1.01 
2015,04,15, NiP, 10, NatusVincere, 16, mirage, 20, 21, 0.96 
2015,04,07, Titan, 16, NiP, 06, mirage, 16, 16, 0.91 
2015,04,07, LGB, 12, NiP, 16, mirage, 22, 13, 1.45 
2015,04,05, fnatic, 08, NiP, 16, mirage, 21, 13, 1.30 
2015,04,05, fnatic, 10, NiP, 16, cache, 27, 19, 1.42 
2015,04,05, NiP, 11, fnatic, 16, cobblestone, 15, 18, 0.84 
2015,04,05, NiP, 16, fnatic, 13, inferno, 18, 18, 0.93 
2015,04,02, NiP, 16, fnatic, 07, inferno, 24, 15, 1.51 
2015,03,29, EnVyUs, 16, NiP, 02, mirage, 11, 17, 0.62 
2015,03,29, NiP, 09, EnVyUs, 16, inferno, 14, 22, 0.73 
2015,03,29, TSM, 13, NiP, 16, nuke, 14, 21, 0.75 
2015,03,29, NiP, 16, TSM, 06, dust2, 21, 12, 1.51 
