2014,06,29, NetcodeGuides.com, 12, NatusVincere, 16, dust2, 10, 24, 0.46 
2014,06,29, NatusVincere, 16, NetcodeGuides.com, 07, season, 15, 19, 0.96 
2014,06,29, NetcodeGuides.com, 16, OverGaming, 08, cache, 15, 15, 1.00 
2014,06,29, OverGaming, 09, NetcodeGuides.com, 16, inferno, 18, 13, 1.18 
2014,06,29, Virtus.pro, 16, NetcodeGuides.com, 03, cache, 10, 17, 0.62 
2014,06,29, Virtus.pro, 16, NetcodeGuides.com, 00, mirage, 08, 16, 0.45 
2014,01,18, iBUYPOWER, 16, mouseSpaz, 06, nuke, 09, 18, 0.54 
2014,01,18, iBUYPOWER, 16, mouseSpaz, 05, dust2, 10, 17, 0.66 
2014,01,18, mouseSpaz, 07, Homeless, 16, cache, 15, 19, 1.04 
2014,01,18, mouseSpaz, 16, Homeless, 05, dust2, 15, 10, 1.13 
2014,01,18, Homeless, 16, mouseSpaz, 11, mirage_ce, 13, 20, 0.70 
