2015,09,13, Luminosity, 19, Conquest, 22, cobblestone, 34, 29, 1.12 
2015,09,13, Conquest, 14, Luminosity, 16, train, 24, 19, 1.32 
2015,09,12, Coast, 20, Conquest, 22, dust2, 37, 25, 1.29 
2015,09,12, Conquest, 16, Coast, 06, cobblestone, 17, 13, 1.08 
2015,09,12, Mythic, 16, Conquest, 07, dust2, 21, 17, 1.23 
2015,09,12, Mythic, 07, Conquest, 16, mirage, 11, 16, 0.72 
2015,09,12, Mythic, 26, Conquest, 21, cache, 26, 33, 0.80 
2015,09,12, Conquest, 16, GamesAcademy, 14, inferno, 24, 17, 1.29 
2015,09,12, GamesAcademy, 01, Conquest, 16, cobblestone, 25, 08, 2.07 
2015,09,08, Splyce, 05, Conquest, 16, dust2, 15, 14, 0.90 
2015,09,08, Splyce, 09, Conquest, 16, cache, 25, 13, 1.53 
2015,09,02, Liquid, 16, Conquest, 09, mirage, 23, 19, 1.24 
2015,09,02, Liquid, 13, Conquest, 16, cache, 25, 18, 1.47 
2015,09,01, CLG, 16, Conquest, 13, mirage, 24, 23, 1.08 
2015,08,28, Conquest, 16, CLG, 14, cobblestone, 22, 21, 0.99 
2015,08,26, Conquest, 16, 3sUP, 11, cache, 20, 15, 1.20 
2015,08,26, 3sUP, 16, Conquest, 10, mirage, 22, 15, 1.23 
2015,08,18, Conquest, 19, Mortality, 16, inferno, 25, 25, 1.03 
2015,08,18, Mortality, 26, Conquest, 28, cache, 35, 35, 0.92 
2015,08,17, MaximumEffort, 10, Conquest, 16, inferno, 18, 15, 1.08 
2015,08,17, Conquest, 11, MaximumEffort, 16, cache, 16, 23, 0.72 
2015,08,14, Liquid, 19, TempoStorm, 16, inferno, 29, 25, 1.14 
2015,08,14, TempoStorm, 02, Liquid, 16, dust2, 06, 16, 0.37 
2015,08,12, Method, 27, eLevate, 31, inferno, 41, 39, 1.01 
2015,08,12, eLevate, 16, Method, 19, cache, 44, 23, 1.94 
2015,08,12, Method, 07, eLevate, 16, mirage, 21, 13, 1.45 
2015,08,02, eLevate, 05, Cloud9, 16, cache, 12, 14, 0.92 
2015,08,02, Cloud9, 16, eLevate, 07, inferno, 13, 16, 0.80 
2015,08,02, eLevate, 16, Mythic, 13, mirage, 17, 18, 0.98 
2015,08,02, eLevate, 16, MaximumEffort, 03, cobblestone, 11, 09, 1.04 
2015,08,01, eLevate, 11, CLG, 16, overpass, 17, 17, 0.91 
2015,07,02, EnVyUs, 16, Luminosity, 07, dust2, 17, 19, 0.96 
2015,07,02, Luminosity, 04, Virtus.pro, 16, cobblestone, 13, 15, 0.82 
2015,06,25, Luminosity, 10, Liquid, 16, inferno, 17, 18, 0.91 
2015,06,24, Luminosity, 16, CLG, 10, mirage, 20, 17, 1.09 
2015,06,24, Luminosity, 16, AstralAuthority, 06, cobblestone, 18, 08, 1.31 
2015,06,24, Liquid, 14, Luminosity, 16, mirage, 26, 21, 1.26 
2015,06,23, ACE, 08, Luminosity, 16, mirage, 25, 14, 1.48 
2015,06,22, eLevate, 08, Luminosity, 16, cobblestone, 20, 16, 1.11 
