2015,08,01, dignitas, 17, HellRaisers, 19, dust2, 18, 24, 0.77 
2015,08,01, dignitas, 16, PENTA, 10, mirage, 22, 19, 1.06 
2015,08,01, PENTA, 11, dignitas, 16, dust2, 15, 20, 0.76 
2015,07,31, dignitas, 17, E-frag.net, 19, cache, 28, 28, 0.93 
2015,07,31, E-frag.net, 16, dignitas, 09, dust2, 10, 19, 0.58 
2015,07,30, dignitas, 16, HellRaisers, 11, cobblestone, 27, 17, 1.43 
2015,07,30, HellRaisers, 09, dignitas, 16, cache, 23, 16, 1.34 
2015,07,25, dignitas, 16, FlipSid3, 19, mirage, 14, 23, 0.64 
2015,07,25, dignitas, 08, Kinguin, 16, dust2, 13, 16, 0.75 
2015,07,25, Property, 14, dignitas, 16, cobblestone, 27, 18, 1.29 
2015,07,25, OverGaming, 09, dignitas, 16, dust2, 19, 16, 1.11 
2015,07,22, dignitas, 10, NatusVincere, 16, mirage, 17, 18, 0.89 
2015,07,22, NatusVincere, 16, dignitas, 10, overpass, 18, 22, 0.77 
2015,06,28, dignitas, 07, EnVyUs, 16, cache, 15, 17, 0.92 
2015,06,28, dignitas, 15, EnVyUs, 19, overpass, 23, 27, 0.85 
2015,06,28, EnVyUs, 08, dignitas, 16, dust2, 16, 16, 1.05 
2015,06,27, dignitas, 16, Titan, 02, cache, 15, 10, 1.22 
2015,06,27, dignitas, 08, Titan, 16, cobblestone, 22, 17, 1.29 
2015,06,27, Titan, 13, dignitas, 16, mirage, 19, 20, 0.92 
2015,06,27, dignitas, 09, NiP, 16, inferno, 11, 21, 0.59 
2015,06,27, NiP, 09, dignitas, 16, mirage, 20, 15, 1.20 
2015,06,27, NiP, 16, dignitas, 04, cache, 11, 17, 0.67 
2015,06,26, Titan, 07, dignitas, 16, overpass, 17, 11, 1.17 
