2015,10,13, TSM, 19, Torpedo, 15, cache, 29, 17, 1.36 
2015,10,08, TSM, 16, dignitas, 03, dust2, 24, 08, 1.96 
2015,10,06, NiP, 10, TSM, 16, cobblestone, 16, 19, 0.96 
2015,10,06, TSM, 16, Titan, 05, overpass, 15, 10, 1.13 
2015,10,06, TSM, 16, HellRaisers, 05, overpass, 10, 12, 0.80 
2015,10,04, Virtus.pro, 12, TSM, 16, overpass, 17, 18, 0.92 
2015,10,04, TSM, 16, Virtus.pro, 12, train, 15, 20, 0.74 
2015,10,03, TSM, 16, Virtus.pro, 14, train, 20, 17, 1.01 
2015,10,03, Virtus.pro, 12, TSM, 16, inferno, 17, 18, 0.94 
2015,10,02, fnatic, 10, TSM, 16, dust2, 17, 15, 0.98 
2015,10,02, TSM, 16, fnatic, 14, inferno, 24, 18, 1.09 
2015,09,30, TSM, 16, Virtus.pro, 11, cache, 17, 16, 0.90 
2015,09,30, TSM, 16, 0G2, 05, dust2, 22, 06, 1.76 
2015,09,29, NiP, 12, TSM, 16, dust2, 17, 17, 0.93 
2015,09,29, TSM, 16, EnVyUs, 13, dust2, 21, 20, 1.08 
2015,09,29, TSM, 16, EnVyUs, 09, cache, 20, 15, 1.16 
2015,09,24, TSM, 16, Virtus.pro, 03, train, 16, 07, 1.37 
2015,09,24, TSM, 16, Virtus.pro, 11, overpass, 14, 18, 0.73 
2015,09,22, TSM, 16, NiP, 05, train, 24, 08, 1.93 
2015,09,22, NatusVincere, 16, TSM, 10, train, 23, 18, 1.37 
2015,09,20, TSM, 13, EnVyUs, 16, inferno, 18, 22, 0.82 
2015,09,20, TSM, 13, EnVyUs, 16, dust2, 18, 21, 0.88 
2015,09,20, dignitas, 14, TSM, 16, overpass, 21, 21, 1.02 
2015,09,20, TSM, 16, dignitas, 06, mirage, 20, 11, 1.43 
2015,09,19, 0G2, 08, TSM, 16, dust2, 20, 13, 1.19 
2015,09,19, CPHWolves, 05, TSM, 16, overpass, 10, 13, 0.76 
2015,09,17, fnatic, 16, TSM, 09, train, 16, 20, 0.79 
2015,09,16, Titan, 17, TSM, 21, dust2, 26, 27, 0.99 
2015,09,16, fnatic, 16, TSM, 09, inferno, 10, 21, 0.56 
2015,09,16, TSM, 16, 0SK, 04, dust2, 20, 08, 1.56 
2015,09,15, TSM, 12, EnVyUs, 16, inferno, 19, 18, 1.04 
2015,09,15, TSM, 16, HellRaisers, 09, overpass, 18, 13, 1.11 
2015,09,12, Virtus.pro, 16, TSM, 14, mirage, 18, 21, 0.84 
2015,09,12, Virtus.pro, 16, TSM, 07, cobblestone, 12, 18, 0.64 
