2015,08,26, FlipSid3, 16, dignitas, 06, inferno, 18, 17, 1.11 
2015,08,26, dignitas, 16, FlipSid3, 05, mirage, 22, 12, 1.72 
2015,08,20, E-frag.net, 14, dignitas, 16, mirage, 23, 24, 0.98 
2015,08,20, dignitas, 16, E-frag.net, 13, cache, 27, 21, 1.20 
2015,08,20, INFINITY, 11, dignitas, 16, inferno, 20, 17, 1.18 
2015,08,20, dignitas, 16, INFINITY, 00, mirage, 23, 06, 2.18 
2015,08,19, dignitas, 16, Phenomenon, 05, inferno, 21, 10, 1.70 
2015,08,19, Phenomenon, 13, dignitas, 16, cache, 18, 23, 0.79 
2015,08,19, dignitas, 16, Phenomenon, 09, mirage, 18, 15, 1.11 
2015,08,17, dignitas, 16, OverGaming, 12, mirage, 30, 17, 1.69 
2015,08,17, OverGaming, 04, dignitas, 16, cache, 11, 12, 0.84 
2015,08,17, dignitas, 16, Aposis, 05, mirage, 19, 12, 1.44 
2015,08,16, dignitas, 16, E-frag.net, 10, overpass, 27, 15, 1.50 
2015,08,16, E-frag.net, 12, dignitas, 16, inferno, 23, 17, 1.28 
2015,08,14, Dobry&Gaming, 06, dignitas, 16, cobblestone, 30, 12, 2.12 
2015,08,14, dignitas, 16, Dobry&Gaming, 10, overpass, 20, 19, 1.06 
2015,08,14, Dobry&Gaming, 16, dignitas, 05, mirage, 12, 19, 0.64 
2015,08,14, dignitas, 10, Dobry&Gaming, 16, cache, 16, 21, 0.80 
2015,08,14, Dobry&Gaming, 10, dignitas, 16, dust2, 24, 17, 1.39 
2015,08,13, dignitas, 16, volgare, 03, inferno, 21, 10, 1.62 
2015,08,13, dignitas, 16, volgare, 06, mirage, 26, 11, 1.92 
2015,08,13, Aftermatch, 07, dignitas, 16, dust2, 20, 14, 1.25 
2015,08,13, dignitas, 16, Aftermatch, 05, overpass, 24, 12, 1.64 
2015,08,11, dignitas, 09, NatusVincere, 16, train, 20, 18, 1.04 
2015,08,11, dignitas, 15, NatusVincere, 21, mirage, 26, 30, 1.00 
2015,08,09, dignitas, 16, HellRaisers, 10, overpass, 25, 15, 1.42 
2015,08,09, dignitas, 16, HellRaisers, 02, mirage, 28, 10, 2.34 
2015,08,01, HellRaisers, 16, dignitas, 03, cache, 07, 17, 0.49 
2015,08,01, HellRaisers, 08, dignitas, 16, cobblestone, 20, 16, 1.21 
2015,08,01, dignitas, 17, HellRaisers, 19, dust2, 25, 24, 1.01 
2015,08,01, dignitas, 16, PENTA, 10, mirage, 30, 18, 1.62 
2015,08,01, PENTA, 11, dignitas, 16, dust2, 25, 15, 1.39 
2015,07,31, dignitas, 17, E-frag.net, 19, cache, 32, 28, 1.10 
2015,07,31, E-frag.net, 16, dignitas, 09, dust2, 26, 18, 1.47 
2015,07,30, dignitas, 16, HellRaisers, 11, cobblestone, 25, 14, 1.37 
2015,07,30, HellRaisers, 09, dignitas, 16, cache, 17, 14, 1.07 
2015,07,25, dignitas, 16, FlipSid3, 19, mirage, 39, 23, 1.53 
2015,07,25, dignitas, 08, Kinguin, 16, dust2, 16, 18, 1.00 
2015,07,25, Property, 14, dignitas, 16, cobblestone, 29, 19, 1.32 
2015,07,25, OverGaming, 09, dignitas, 16, dust2, 23, 14, 1.43 
2015,07,22, dignitas, 10, NatusVincere, 16, mirage, 17, 19, 0.86 
2015,07,22, NatusVincere, 16, dignitas, 10, overpass, 22, 23, 1.27 
2015,06,28, dignitas, 07, EnVyUs, 16, cache, 14, 18, 0.79 
2015,06,28, dignitas, 15, EnVyUs, 19, overpass, 21, 26, 0.84 
2015,06,28, EnVyUs, 08, dignitas, 16, dust2, 16, 17, 0.99 
2015,06,27, dignitas, 16, Titan, 02, cache, 21, 10, 1.92 
2015,06,27, dignitas, 08, Titan, 16, cobblestone, 17, 17, 0.97 
2015,06,27, Titan, 13, dignitas, 16, mirage, 25, 21, 1.17 
2015,06,27, dignitas, 09, NiP, 16, inferno, 18, 17, 1.03 
2015,06,27, NiP, 09, dignitas, 16, mirage, 19, 15, 1.15 
2015,06,27, NiP, 16, dignitas, 04, cache, 13, 17, 0.81 
2015,06,26, Titan, 07, dignitas, 16, overpass, 21, 11, 1.39 
2015,06,26, Titan, 10, dignitas, 16, mirage, 27, 18, 1.55 
2015,06,24, Titan, 06, dignitas, 16, cobblestone, 23, 13, 1.52 
2015,06,22, fnatic, 16, dignitas, 01, mirage, 06, 17, 0.33 
2015,06,22, Virtus.pro, 16, dignitas, 13, overpass, 21, 21, 1.03 
2015,06,17, EnVyUs, 16, dignitas, 02, inferno, 07, 16, 0.42 
2015,06,14, dignitas, 11, NiP, 16, cache, 20, 22, 0.92 
2015,06,14, Kinguin, 14, dignitas, 16, mirage, 30, 22, 1.40 
2015,06,14, NiP, 16, dignitas, 09, mirage, 25, 19, 1.24 
2015,06,13, Exertus, 06, dignitas, 16, cache, 19, 10, 1.32 
2015,06,13, dignitas, 16, Exertus, 06, mirage, 19, 15, 1.24 
2015,06,13, dignitas, 16, Team8, 12, mirage, 27, 23, 1.22 
2015,06,13, Team8, 07, dignitas, 16, dust2, 19, 12, 1.21 
2015,06,11, Virtus.pro, 12, dignitas, 16, mirage, 26, 24, 1.06 
2015,06,11, dignitas, 26, Virtus.pro, 23, cobblestone, 44, 36, 1.18 
2015,06,11, dignitas, 16, FlipSid3, 01, overpass, 18, 06, 1.62 
2015,06,09, FlipSid3, 14, dignitas, 16, mirage, 23, 19, 1.06 
2015,06,09, FlipSid3, 10, dignitas, 16, inferno, 17, 14, 1.10 
2015,06,09, HellRaisers, 16, dignitas, 05, cache, 18, 18, 1.08 
2015,06,08, dignitas, 10, NiP, 16, cobblestone, 07, 21, 0.40 
2015,06,08, dignitas, 12, FlipSid3, 16, mirage, 26, 22, 1.20 
2015,06,08, dignitas, 14, FlipSid3, 16, cache, 20, 26, 0.86 
2015,06,03, Epsilon, 13, dignitas, 16, mirage, 21, 18, 1.09 
2015,06,03, dignitas, 16, Virtus.pro, 04, mirage, 31, 13, 2.10 
2015,06,03, Virtus.pro, 13, dignitas, 16, cache, 19, 18, 1.06 
2015,06,01, NatusVincere, 16, dignitas, 07, train, 15, 22, 0.73 
2015,06,01, dignitas, 04, NatusVincere, 16, dust2, 06, 19, 0.32 
2015,06,01, dignitas, 08, NatusVincere, 16, inferno, 10, 18, 0.65 
2015,06,01, dignitas, 09, 0G2, 16, cache, 16, 22, 0.79 
2015,06,01, dignitas, 16, 0G2, 09, mirage, 23, 15, 1.28 
2015,05,31, TSM, 16, dignitas, 08, train, 10, 19, 0.64 
2015,05,31, PENTA, 11, dignitas, 16, dust2, 26, 20, 1.38 
2015,05,31, dignitas, 08, EnVyUs, 16, inferno, 11, 19, 0.60 
2015,05,30, dignitas, 11, FlipSid3, 16, cache, 17, 22, 0.74 
2015,05,30, FlipSid3, 16, dignitas, 07, cobblestone, 14, 18, 0.74 
2015,05,30, dignitas, 04, FlipSid3, 16, inferno, 07, 17, 0.41 
2015,05,30, VingeN, 08, dignitas, 16, cache, 21, 15, 1.30 
2015,05,30, VingeN, 08, dignitas, 16, inferno, 18, 14, 1.14 
2015,05,28, dignitas, 16, FlipSid3, 06, dust2, 31, 09, 2.11 
2015,05,28, dignitas, 12, Fraternitas, 16, inferno, 14, 18, 0.85 
2015,05,28, Fraternitas, 10, dignitas, 16, cache, 26, 16, 1.31 
2015,05,28, Fraternitas, 22, dignitas, 18, cobblestone, 34, 31, 1.01 
2015,05,27, dignitas, 16, Virtus.pro, 12, mirage, 21, 20, 1.03 
2015,05,27, dignitas, 09, FlipSid3, 16, overpass, 15, 20, 0.87 
2015,05,27, FlipSid3, 16, dignitas, 14, cache, 25, 19, 1.17 
2015,05,27, FlipSid3, 13, dignitas, 16, cobblestone, 25, 19, 1.15 
2015,05,26, dignitas, 16, ENCORE, 07, cache, 18, 14, 1.12 
2015,05,26, dignitas, 16, mousesports, 09, overpass, 28, 13, 1.63 
2015,05,25, dignitas, 13, TSM, 16, cache, 23, 24, 1.00 
2015,05,25, GPlay, 11, dignitas, 16, mirage, 23, 22, 0.99 
2015,05,25, GPlay, 16, dignitas, 06, inferno, 02, 20, 0.15 
2015,05,25, GPlay, 18, dignitas, 22, cache, 34, 30, 1.06 
2015,05,24, dignitas, 12, NatusVincere, 16, cobblestone, 19, 22, 0.93 
2015,05,24, Vination, 05, dignitas, 16, inferno, 23, 13, 1.61 
2015,05,24, dignitas, 16, Vination, 02, mirage, 18, 10, 1.39 
2015,05,24, Vination, 16, dignitas, 11, cache, 15, 22, 0.81 
2015,05,21, dignitas, 14, Epsilon, 16, inferno, 19, 20, 1.01 
2015,05,21, dignitas, 16, Virtus.pro, 12, cache, 27, 20, 1.26 
2015,05,21, Virtus.pro, 16, dignitas, 04, train, 07, 20, 0.32 
2015,05,20, TSM, 16, dignitas, 12, train, 18, 20, 0.94 
2015,05,20, dignitas, 09, TSM, 16, inferno, 19, 22, 0.94 
2015,05,19, dignitas, 16, HellRaisers, 13, train, 31, 17, 1.58 
2015,05,19, dignitas, 08, TSM, 16, inferno, 25, 17, 1.42 
2015,05,19, TSM, 16, dignitas, 08, cache, 22, 19, 1.25 
2015,05,18, dignitas, 16, PENTA, 14, mirage, 28, 19, 1.26 
2015,05,18, LDLCBlue, 13, dignitas, 16, inferno, 29, 16, 1.54 
2015,05,14, TSM, 16, dignitas, 06, inferno, 09, 17, 0.63 
