2015,08,12, mousesports, 13, Kinguin, 16, train, 10, 22, 0.53 
2015,08,12, Kinguin, 16, mousesports, 07, dust2, 17, 19, 0.95 
2015,08,12, mousesports, 05, Kinguin, 16, cache, 12, 19, 0.62 
2015,08,11, mousesports, 16, Torpedo, 04, cache, 17, 13, 1.20 
2015,08,11, mousesports, 16, Torpedo, 06, dust2, 18, 11, 1.30 
2015,08,09, PENTA, 04, mousesports, 16, overpass, 19, 06, 1.57 
2015,08,09, mousesports, 16, PENTA, 04, cache, 15, 08, 1.20 
2015,08,09, Planetkey, 15, mousesports, 19, cobblestone, 27, 22, 1.22 
2015,08,09, mousesports, 16, Planetkey, 05, dust2, 18, 09, 1.38 
2015,08,09, mousesports, 11, Planetkey, 16, cache, 18, 18, 0.96 
2015,08,07, mousesports, 17, EnVyUs, 19, cache, 25, 23, 1.03 
2015,08,07, EnVyUs, 11, mousesports, 16, train, 15, 16, 0.85 
2015,08,07, EnVyUs, 16, mousesports, 08, dust2, 07, 19, 0.44 
2015,08,06, mousesports, 08, TSM, 16, dust2, 12, 17, 0.70 
2015,08,05, EnVyUs, 16, mousesports, 13, inferno, 18, 19, 0.90 
2015,08,05, mousesports, 16, Renegades, 02, dust2, 22, 10, 1.74 
2015,08,02, mousesports, 10, HellRaisers, 16, mirage, 15, 20, 0.75 
2015,08,02, HellRaisers, 16, mousesports, 10, cobblestone, 09, 19, 0.53 
2015,08,02, mousesports, 13, HellRaisers, 16, train, 22, 16, 1.13 
2015,08,02, mousesports, 16, HellRaisers, 14, overpass, 27, 20, 1.31 
2015,08,02, mousesports, 09, HellRaisers, 16, dust2, 19, 15, 1.12 
2015,08,02, mousesports, 16, HellRaisers, 12, cache, 21, 20, 1.13 
2015,08,01, E-frag.net, 14, mousesports, 16, dust2, 18, 18, 0.96 
2015,08,01, E-frag.net, 16, mousesports, 11, cache, 10, 22, 0.53 
2015,08,01, mousesports, 16, E-frag.net, 07, overpass, 27, 11, 1.81 
2015,07,31, 0SK, 06, mousesports, 16, dust2, 20, 12, 1.29 
2015,07,31, mousesports, 16, 0SK, 05, train, 15, 11, 1.10 
2015,07,31, mousesports, 19, PENTA, 15, cache, 20, 16, 1.04 
2015,07,31, mousesports, 16, PENTA, 07, overpass, 24, 09, 1.63 
2015,07,26, NatusVincere, 16, mousesports, 14, dust2, 21, 20, 0.92 
2015,07,26, NatusVincere, 16, mousesports, 09, overpass, 13, 19, 0.72 
2015,07,25, mousesports, 16, Cloud9, 12, dust2, 24, 16, 1.31 
2015,07,25, mousesports, 16, Cloud9, 05, cache, 19, 10, 1.22 
2015,07,25, mousesports, 16, Liquid, 08, overpass, 19, 12, 1.25 
2015,07,25, Liquid, 10, mousesports, 16, dust2, 25, 17, 1.22 
2015,06,29, EnVyUs, 19, mousesports, 15, train, 24, 22, 1.10 
2015,06,29, mousesports, 13, EnVyUs, 16, cache, 10, 26, 0.39 
2015,06,28, NiP, 16, mousesports, 02, dust2, 04, 15, 0.32 
2015,06,28, mousesports, 13, NiP, 16, train, 18, 24, 0.74 
2015,06,27, Virtus.pro, 20, mousesports, 22, train, 21, 30, 0.73 
2015,06,27, mousesports, 16, Virtus.pro, 13, mirage, 28, 18, 1.34 
2015,06,27, mousesports, 15, Virtus.pro, 19, dust2, 20, 20, 1.02 
2015,06,27, EnVyUs, 16, mousesports, 09, cobblestone, 14, 16, 0.88 
2015,06,27, mousesports, 16, EnVyUs, 12, cache, 17, 16, 0.92 
