2015,10,24, 0SK, 13, NatusVincere, 16, mirage, 18, 23, 0.79 
2015,10,22, NiP, 11, NatusVincere, 16, overpass, 25, 13, 1.50 
2015,10,22, NiP, 06, NatusVincere, 16, inferno, 17, 12, 1.15 
2015,10,20, NatusVincere, 16, Titan, 13, train, 22, 20, 1.13 
2015,10,19, Vexed, 05, NatusVincere, 16, overpass, 16, 10, 1.26 
2015,10,19, NatusVincere, 16, Vexed, 02, train, 23, 04, 2.06 
2015,10,19, dignitas, 05, NatusVincere, 16, overpass, 14, 11, 1.06 
2015,10,18, TSM, 19, NatusVincere, 16, cache, 25, 22, 1.07 
2015,10,16, NatusVincere, 14, Virtus.pro, 16, mirage, 15, 22, 0.77 
2015,10,16, Virtus.pro, 16, NatusVincere, 14, inferno, 15, 25, 0.59 
2015,10,16, NatusVincere, 13, Virtus.pro, 16, train, 20, 22, 0.87 
2015,10,16, Virtus.pro, 09, NatusVincere, 16, cobblestone, 19, 14, 1.20 
2015,10,15, PiTER, 10, NatusVincere, 16, mirage, 16, 18, 0.83 
2015,10,15, NatusVincere, 16, PiTER, 09, cobblestone, 19, 14, 1.34 
2015,10,14, EnVyUs, 13, NatusVincere, 16, train, 27, 14, 1.46 
2015,10,14, Titan, 16, NatusVincere, 13, overpass, 13, 24, 0.54 
2015,10,14, PENTA, 16, NatusVincere, 06, cache, 12, 18, 0.79 
2015,10,13, E-frag.net, 10, NatusVincere, 16, overpass, 17, 15, 1.09 
2015,10,13, E-frag.net, 16, NatusVincere, 08, dust2, 14, 20, 0.77 
2015,10,13, NatusVincere, 16, E-frag.net, 05, train, 17, 11, 1.26 
2015,10,13, NatusVincere, 19, dignitas, 22, inferno, 36, 27, 1.24 
2015,10,11, France, 16, Russia, 11, mirage, 17, 19, 0.94 
2015,10,11, Russia, 16, France, 19, cobblestone, 27, 27, 1.00 
2015,10,10, Russia, 16, Norway, 10, mirage, 18, 15, 1.04 
2015,10,10, Russia, 10, Norway, 16, dust2, 14, 18, 0.83 
2015,10,10, Norway, 16, Russia, 19, overpass, 27, 24, 1.18 
2015,10,08, Russia, 16, Kyrgyzstan, 02, mirage, 10, 07, 0.96 
2015,10,08, Russia, 16, Kyrgyzstan, 10, cobblestone, 19, 11, 1.33 
2015,10,08, Russia, 16, Tunisia, 04, overpass, 24, 07, 1.91 
2015,10,08, Russia, 16, Tunisia, 03, inferno, 18, 07, 1.58 
2015,10,05, Vexed, 06, NatusVincere, 16, cobblestone, 18, 11, 1.30 
2015,10,05, Vexed, 16, NatusVincere, 19, dust2, 22, 21, 0.95 
2015,10,01, Russia, 16, Hungary, 12, inferno, 13, 19, 0.67 
2015,10,01, Hungary, 07, Russia, 16, overpass, 21, 12, 1.46 
2015,09,30, NatusVincere, 16, EnVyUs, 11, dust2, 21, 20, 1.03 
2015,09,29, Russia, 05, Slovakia, 16, mirage, 14, 17, 0.88 
2015,09,29, Virtus.pro, 08, NatusVincere, 16, mirage, 11, 15, 0.71 
2015,09,29, VegaSquadron, 16, Nostalgie, 14, dust2, 22, 21, 1.03 
2015,09,29, VegaSquadron, 16, Nostalgie, 07, mirage, 12, 19, 0.68 
2015,09,28, Germany, 14, Russia, 16, mirage, 19, 17, 1.04 
2015,09,28, UnitedKingdom, 04, Russia, 16, mirage, 13, 16, 0.76 
2015,09,28, Enervate, 19, Nostalgie, 16, mirage, 21, 27, 0.85 
2015,09,28, Enervate, 16, Nostalgie, 11, cobblestone, 17, 20, 0.89 
2015,09,22, NatusVincere, 04, fnatic, 16, cobblestone, 13, 19, 0.76 
2015,09,22, NatusVincere, 16, TSM, 10, train, 18, 17, 1.06 
2015,09,17, Finland, 13, Russia, 16, mirage, 22, 18, 1.08 
2015,09,17, Russia, 03, Turkey, 16, mirage, 11, 16, 0.80 
2015,09,15, mousesports, 05, NatusVincere, 16, inferno, 20, 09, 1.54 
2015,09,15, 0SK, 11, NatusVincere, 16, cache, 17, 17, 0.96 
