2015,05,12, NiP, 14, NatusVincere, 16, inferno, 12, 25, 0.59 
2015,05,11, NiP, 11, Virtus.pro, 16, train, 17, 23, 0.82 
2015,05,07, NatusVincere, 15, NiP, 19, dust2, 25, 25, 0.92 
2015,05,07, Virtus.pro, 16, NiP, 03, cache, 13, 16, 0.79 
2015,05,06, dignitas, 13, NiP, 16, inferno, 10, 19, 0.59 
2015,05,03, NiP, 12, TSM, 16, cache, 24, 20, 1.11 
2015,05,03, TSM, 21, NiP, 18, dust2, 20, 26, 0.80 
2015,05,03, NiP, 16, TSM, 01, inferno, 17, 07, 1.62 
2015,05,03, Virtus.pro, 14, NiP, 16, cache, 22, 19, 1.09 
2015,05,03, Virtus.pro, 16, NiP, 05, overpass, 10, 16, 0.70 
2015,05,03, Virtus.pro, 06, NiP, 16, inferno, 18, 15, 1.18 
2015,05,02, NiP, 16, Immunity, 04, mirage, 11, 14, 0.76 
2015,05,02, NiP, 16, Immunity, 03, dust2, 15, 07, 1.51 
2015,05,02, fnatic, 16, NiP, 12, dust2, 19, 22, 0.93 
2015,05,02, NiP, 07, fnatic, 16, mirage, 16, 17, 0.92 
2015,05,01, Immunity, 14, NiP, 16, dust2, 17, 18, 0.92 
2015,05,01, Immunity, 05, NiP, 16, inferno, 21, 11, 1.53 
2015,04,25, fnatic, 16, NiP, 04, cobblestone, 08, 19, 0.43 
2015,04,25, NiP, 06, fnatic, 16, mirage, 08, 17, 0.57 
2015,04,25, NiP, 14, TSM, 16, dust2, 12, 21, 0.62 
2015,04,25, NiP, 12, TSM, 16, inferno, 20, 18, 1.12 
2015,04,24, NiP, 16, EnVyUs, 11, mirage, 17, 18, 0.88 
2015,04,24, EnVyUs, 33, NiP, 36, dust2, 51, 50, 1.07 
2015,04,24, EnVyUs, 16, NiP, 10, cache, 19, 19, 0.96 
2015,04,16, NatusVincere, 14, NiP, 16, dust2, 25, 19, 1.46 
2015,04,15, NiP, 10, NatusVincere, 16, mirage, 12, 21, 0.65 
2015,04,07, Titan, 16, NiP, 06, mirage, 19, 19, 0.99 
2015,04,07, LGB, 12, NiP, 16, mirage, 16, 17, 0.86 
2015,04,05, fnatic, 08, NiP, 16, mirage, 13, 14, 0.94 
2015,04,05, fnatic, 10, NiP, 16, cache, 15, 14, 0.93 
2015,04,05, NiP, 11, fnatic, 16, cobblestone, 14, 21, 0.70 
2015,04,05, NiP, 16, fnatic, 13, inferno, 21, 19, 1.01 
2015,04,02, NiP, 16, fnatic, 07, inferno, 15, 14, 1.04 
2015,03,29, EnVyUs, 16, NiP, 02, mirage, 06, 17, 0.36 
2015,03,29, NiP, 09, EnVyUs, 16, inferno, 08, 22, 0.39 
2015,03,29, TSM, 13, NiP, 16, nuke, 23, 16, 1.21 
2015,03,29, NiP, 16, TSM, 06, dust2, 15, 08, 1.38 
2015,03,28, EnVyUs, 16, NiP, 01, inferno, 03, 17, 0.15 
2015,03,28, EnVyUs, 16, NiP, 09, cache, 21, 19, 1.04 
2015,03,27, NiP, 16, Virtus.pro, 06, inferno, 19, 12, 1.28 
2015,03,27, NiP, 16, Virtus.pro, 06, mirage, 15, 12, 1.10 
2015,03,27, NiP, 16, Titan, 11, dust2, 17, 15, 0.97 
2015,03,27, NiP, 25, Titan, 22, cache, 28, 28, 0.90 
2015,03,25, NiP, 16, EnVyUs, 12, mirage, 18, 18, 0.89 
2015,03,25, Virtus.pro, 07, NiP, 16, mirage, 18, 19, 0.95 
2015,03,22, EnVyUs, 16, NiP, 09, cobblestone, 14, 23, 0.70 
2015,03,22, NiP, 11, EnVyUs, 16, dust2, 13, 18, 0.74 
2015,03,22, NiP, 05, EnVyUs, 16, cache, 18, 16, 1.10 
2015,03,22, EnVyUs, 14, NiP, 16, inferno, 21, 22, 0.97 
2015,03,22, NiP, 16, Virtus.pro, 12, inferno, 17, 17, 0.91 
2015,03,22, Virtus.pro, 16, NiP, 07, mirage, 09, 19, 0.52 
2015,03,22, Virtus.pro, 10, NiP, 16, nuke, 15, 16, 0.97 
2015,03,21, Property, 10, NiP, 16, mirage, 14, 14, 0.88 
2015,03,21, Property, 13, NiP, 16, inferno, 26, 20, 1.30 
2015,03,21, NiP, 13, Property, 16, cache, 22, 24, 0.93 
2015,03,21, EnVyUs, 16, NiP, 09, dust2, 11, 19, 0.59 
2015,03,21, EnVyUs, 16, NiP, 06, inferno, 18, 17, 1.11 
2015,03,20, 0G2, 08, NiP, 16, nuke, 19, 14, 1.17 
2015,03,20, NiP, 16, 0G2, 05, cobblestone, 17, 11, 1.40 
2015,03,18, NiP, 21, EnVyUs, 26, inferno, 30, 33, 1.00 
2015,03,18, EnVyUs, 16, NiP, 05, mirage, 07, 18, 0.42 
2015,03,18, TSM, 12, NiP, 16, nuke, 15, 15, 0.93 
2015,03,18, Virtus.pro, 04, NiP, 16, inferno, 15, 10, 1.21 
2015,03,18, Virtus.pro, 14, NiP, 16, mirage, 16, 22, 0.74 
2015,03,17, PENTA, 10, NiP, 16, dust2, 21, 15, 1.15 
2015,03,17, NiP, 16, PENTA, 13, nuke, 23, 19, 1.16 
2015,03,15, fnatic, 16, NiP, 13, inferno, 13, 22, 0.71 
2015,03,15, fnatic, 10, NiP, 16, cache, 15, 15, 0.94 
2015,03,15, fnatic, 16, NiP, 14, dust2, 19, 22, 0.80 
