2015,08,21, Kinguin, 16, Cloud9, 13, dust2, 11, 24, 0.50 
2015,08,20, Virtus.pro, 16, Cloud9, 08, cobblestone, 13, 18, 0.78 
2015,08,20, mousesports, 10, Cloud9, 16, overpass, 17, 15, 1.03 
2015,08,02, eLevate, 05, Cloud9, 16, cache, 11, 09, 1.00 
2015,08,02, Cloud9, 16, eLevate, 07, inferno, 21, 12, 1.41 
2015,08,01, Cloud9, 16, Liquid, 10, dust2, 22, 14, 1.37 
2015,08,01, Noble, 02, Cloud9, 16, cobblestone, 14, 05, 1.40 
2015,07,26, Virtus.pro, 16, Cloud9, 11, inferno, 11, 21, 0.55 
2015,07,26, Virtus.pro, 07, Cloud9, 16, cache, 26, 15, 1.52 
2015,07,26, Virtus.pro, 16, Cloud9, 05, train, 05, 18, 0.34 
2015,07,26, CLG, 09, Cloud9, 16, cache, 15, 15, 0.91 
2015,07,26, CLG, 12, Cloud9, 16, dust2, 17, 16, 0.92 
2015,07,25, mousesports, 16, Cloud9, 12, dust2, 22, 20, 1.20 
2015,07,25, mousesports, 16, Cloud9, 05, cache, 11, 19, 0.65 
2015,07,25, CLG, 17, Cloud9, 19, cache, 23, 22, 0.98 
2015,07,25, CLG, 10, Cloud9, 16, cobblestone, 16, 12, 1.07 
2015,07,18, TSM, 16, Cloud9, 02, mirage, 05, 18, 0.26 
2015,07,18, TSM, 16, Cloud9, 14, cache, 14, 20, 0.72 
2015,07,18, Cloud9, 21, fnatic, 19, train, 31, 24, 1.15 
2015,07,18, fnatic, 07, Cloud9, 16, mirage, 20, 10, 1.36 
2015,07,16, NatusVincere, 14, Cloud9, 16, cobblestone, 23, 24, 1.00 
2015,07,16, Kinguin, 07, Cloud9, 16, dust2, 17, 12, 1.16 
2015,07,12, NatusVincere, 16, Cloud9, 14, overpass, 31, 20, 1.50 
2015,07,12, NatusVincere, 14, Cloud9, 16, dust2, 24, 18, 1.27 
2015,07,12, NatusVincere, 16, Cloud9, 03, inferno, 13, 16, 0.82 
2015,07,12, EnVyUs, 17, Cloud9, 19, cobblestone, 33, 24, 1.33 
2015,07,12, Cloud9, 16, EnVyUs, 08, train, 22, 14, 1.40 
2015,07,11, Cloud9, 16, Liquid, 14, inferno, 16, 18, 0.89 
2015,07,11, Liquid, 11, Cloud9, 16, overpass, 22, 15, 1.30 
2015,07,10, Cloud9, 16, FlipSid3, 10, cache, 29, 17, 1.50 
2015,07,10, KeydStars, 06, Cloud9, 16, overpass, 13, 14, 0.84 
2015,07,10, Cloud9, 16, Boreal, 04, cobblestone, 19, 11, 1.45 
2015,07,05, fnatic, 19, Cloud9, 15, dust2, 18, 25, 0.85 
2015,07,05, Cloud9, 14, fnatic, 16, overpass, 21, 23, 0.85 
2015,07,05, Cloud9, 06, fnatic, 16, cache, 13, 16, 0.85 
2015,07,05, fnatic, 14, Cloud9, 16, cobblestone, 17, 22, 0.71 
2015,07,04, Cloud9, 16, CLG, 08, dust2, 18, 15, 1.08 
2015,07,04, CLG, 05, Cloud9, 16, cache, 24, 11, 1.70 
2015,07,03, EnVyUs, 12, Cloud9, 16, cache, 22, 21, 1.01 
2015,07,03, EnVyUs, 12, Cloud9, 16, dust2, 22, 19, 1.15 
2015,07,02, Virtus.pro, 16, Cloud9, 10, overpass, 13, 19, 0.75 
2015,07,02, EnVyUs, 13, Cloud9, 16, cache, 25, 19, 1.20 
2015,06,27, Cloud9, 05, Virtus.pro, 16, dust2, 15, 17, 0.89 
2015,06,27, Cloud9, 13, Virtus.pro, 16, overpass, 18, 20, 0.89 
2015,06,26, Cloud9, 12, EnVyUs, 16, cache, 17, 20, 0.82 
2015,06,26, EnVyUs, 16, Cloud9, 02, inferno, 09, 17, 0.66 
2015,06,26, EnVyUs, 16, Cloud9, 19, train, 27, 25, 0.99 
2015,06,23, TempoStorm, 11, Cloud9, 16, mirage, 34, 15, 1.75 
2015,06,22, Luminosity, 05, Cloud9, 16, cache, 16, 10, 1.17 
2015,06,21, Liquid, 16, Cloud9, 13, cache, 19, 21, 0.86 
2015,06,21, Cloud9, 04, Liquid, 16, dust2, 07, 17, 0.47 
2015,06,20, Cloud9, 16, Luminosity, 07, inferno, 15, 16, 0.87 
2015,06,20, CLG, 09, Cloud9, 16, inferno, 21, 14, 1.27 
2015,06,19, Liquid, 16, Cloud9, 04, cache, 15, 16, 0.89 
2015,06,19, Cloud9, 16, Luminosity, 08, inferno, 19, 15, 1.11 
2015,06,18, Cloud9, 16, eLevate, 05, dust2, 18, 13, 1.19 
2015,06,18, Cloud9, 16, affNity, 08, train, 17, 13, 1.00 
2015,06,17, eLevate, 10, Cloud9, 16, train, 14, 16, 0.83 
2015,06,17, Cloud9, 16, mouseSpaz, 04, cobblestone, 14, 06, 1.27 
2015,06,17, Cloud9, 16, Liquid, 04, dust2, 15, 07, 1.33 
2015,06,17, Cloud9, 12, Liquid, 16, overpass, 19, 22, 0.93 
2015,06,16, Liquid, 03, Cloud9, 16, overpass, 18, 07, 1.49 
2015,06,16, Liquid, 04, Cloud9, 16, cache, 16, 10, 1.25 
2015,06,11, Nihilum, 12, Cloud9, 16, cache, 27, 17, 1.50 
2015,06,11, KeydStars, 16, Cloud9, 06, overpass, 14, 18, 0.86 
2015,06,11, Nihilum, 11, Cloud9, 16, inferno, 29, 18, 1.43 
2015,06,08, Cloud9, 16, Liquid, 06, dust2, 17, 14, 1.10 
2015,06,08, Liquid, 14, Cloud9, 16, cache, 22, 23, 0.96 
2015,06,05, Nihilum, 13, Cloud9, 16, train, 32, 16, 1.68 
2015,06,05, Cloud9, 16, Nihilum, 10, cache, 21, 16, 1.04 
2015,06,03, CLG, 12, Cloud9, 16, train, 19, 17, 1.05 
2015,06,03, Nihilum, 19, Cloud9, 21, inferno, 32, 26, 1.14 
